#,Zn_mole (mmol),Additive_mole (%),LogMolarRatio,Additive_SMILES,IUPAC_NAME,CE_1 (%),CE_2 (%),CE_3 (%),CE_aver. (%)
22,0.10073,0.00101,2.00071,CS(=O)C,(methylsulfinyl)methane,95.44865,97.86618,96.25768,96.52417
23,0.10073,0.00101,2.00055,CO[C@H]1COC2[C@@H](COC12)OC,"(3R,6S)-3,6-dimethoxyhexahydrofuro[3,2-b]furan",96.05225,97.15746,96.5888,96.5995
24,0.10073,0.00102,1.99649,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],"sodium 2,2'-(ethane-1,2-diylbis((carboxymethyl)azanediyl))diacetate",91.9687,93.64318,92.48404,92.69864
25,0.10073,0.00102,1.99644,C1=CC=C(C=C1)NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],sodium 4-(phenylamino)benzenesulfonate,96.64333,96.57318,96.51376,96.57676
26,0.09952,0.00201,1.69444,CS(=O)C,(methylsulfinyl)methane,96.78787,97.56681,97.15785,97.17084
27,0.09952,0.00201,1.69429,CO[C@H]1COC2[C@@H](COC12)OC,"(3R,6S)-3,6-dimethoxyhexahydrofuro[3,2-b]furan",96.1836,97.39295,96.77095,96.7825
28,0.09952,0.00203,1.69022,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],"sodium 2,2'-(ethane-1,2-diylbis((carboxymethyl)azanediyl))diacetate",88.69457,88.00557,88.33358,88.34457
29,0.09952,0.00203,1.69017,C1=CC=C(C=C1)NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],sodium 4-(phenylamino)benzenesulfonate,95.18338,93.29966,94.23651,94.23985
30,0.10061,0.00402,1.39813,CS(=O)C,(methylsulfinyl)methane,97.55513,97.16883,97.35463,97.35953
31,0.10061,0.00403,1.39748,CC1CCC(=O)O1,5-methyldihydrofuran-2(3H)-one,97.39054,97.06575,97.15127,97.20252
32,0.10061,0.00402,1.39797,CO[C@H]1COC2[C@@H](COC12)OC,"(3R,6S)-3,6-dimethoxyhexahydrofuro[3,2-b]furan",96.24313,96.50342,96.37514,96.3739
33,0.10061,0.00405,1.39534,OC=1C(OC(=O)C=1O)[C@@H](O)CO,"5-((S)-1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one",95.16875,95.79509,95.47011,95.47798
34,0.10061,0.00406,1.39386,C1=CC=C(C=C1)NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],sodium 4-(phenylamino)benzenesulfonate,91.75898,91.99124,91.86204,91.87075
35,0.09965,0.00503,1.29707,CS(=O)C,(methylsulfinyl)methane,97.96745,97.9786,97.94333,97.96313
36,0.09965,0.00504,1.29641,CC1CCC(=O)O1,5-methyldihydrofuran-2(3H)-one,97.857,97.16219,97.4973,97.5055
37,0.09965,0.00521,1.28189,C1CC(OC1)CO,(tetrahydrofuran-2-yl)methanol,97.74997,97.19479,97.45518,97.46665
38,0.09965,0.00505,1.29538,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],"sodium (R)-2-((S)-1,2-dihydroxyethyl)-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate",98.58965,98.13676,98.21068,98.31236
39,0.09965,0.00506,1.29428,OC=1C(OC(=O)C=1O)[C@@H](O)CO,"5-((S)-1,2-dihydroxyethyl)-3,4-dihydroxyfuran-2(5H)-one",94.97309,95.70154,95.29981,95.32481
40,0.10111,0.00104,1.98756,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,96.51903,96.88124,96.68706,96.69578
41,0.10111,0.00103,1.99133,O1C(C)CCC1,2-methyltetrahydrofuran,96.24451,96.75154,96.46653,96.48753
42,0.10111,0.00103,1.99325,[C@H]12CCC([C@H](OC1)O2)=O,"(1S,5R)-6,8-dioxabicyclo[3.2.1]octan-4-one",96.25122,96.38516,94.35511,95.66383
43,0.10111,0.00103,1.98994,CN(C)C(=O)C(F)(F)F,"2,2,2-trifluoro-N,N-dimethylacetamide",96.45637,96.67238,94.38236,95.83704
44,0.10111,0.001,2.00321,OCC(O)CO,"propane-1,2,3-triol",96.52349,96.64543,96.56646,96.57846
45,0.10111,0.00101,2.00207,COCCOC,"1,2-dimethoxyethane",96.41787,96.00436,94.4655,95.62924
46,0.10111,0.00102,1.99583,O1CCOC1,"1,3-dioxolane",96.47643,96.31991,94.53306,95.77647
47,0.09994,0.00209,1.67929,C(C(F)(F)F)(C(F)(F)F)O,"1,1,1,3,3,3-hexafluoropropan-2-ol",96.66835,96.98737,96.83085,96.82886
48,0.09994,0.00208,1.68145,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,96.28854,96.44522,96.26638,96.33338
49,0.09994,0.00206,1.68523,O1C(C)CCC1,2-methyltetrahydrofuran,96.27981,96.67617,96.42999,96.46199
50,0.10062,0.00418,1.38124,C(C(F)(F)F)(C(F)(F)F)O,"1,1,1,3,3,3-hexafluoropropan-2-ol",97.02347,96.55194,96.6857,96.7537
51,0.10062,0.00411,1.3891,[C@H]12CCC([C@H](OC1)O2)=O,"(1S,5R)-6,8-dioxabicyclo[3.2.1]octan-4-one",95.98156,96.25934,96.10733,96.11608
52,0.10062,0.00414,1.38579,CN(C)C(=O)C(F)(F)F,"2,2,2-trifluoro-N,N-dimethylacetamide",96.27456,96.33567,96.24237,96.2842
53,0.10062,0.00401,1.39905,OCC(O)CO,"propane-1,2,3-triol",96.16712,96.09816,96.11064,96.12531
54,0.10062,0.00403,1.39792,COCCOC,"1,2-dimethoxyethane",96.37993,96.25651,96.2959,96.31078
55,0.10062,0.00408,1.39168,O1CCOC1,"1,3-dioxolane",96.39363,96.38919,96.39309,96.39197
56,0.10072,0.00523,1.28475,C(C(F)(F)F)(C(F)(F)F)O,"1,1,1,3,3,3-hexafluoropropan-2-ol",96.47832,96.744,96.60381,96.60871
57,0.10072,0.0052,1.2869,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,96.47928,96.2784,96.36399,96.37389
58,0.10072,0.00516,1.29068,O1C(C)CCC1,2-methyltetrahydrofuran,96.34282,96.24148,96.27951,96.28793
59,0.10072,0.00517,1.28929,CN(C)C(=O)C(F)(F)F,"2,2,2-trifluoro-N,N-dimethylacetamide",96.25205,96.26933,96.25636,96.25925
60,0.10072,0.00502,1.30255,OCC(O)CO,"propane-1,2,3-triol",96.37465,96.7239,95.40791,96.16882
61,0.10003,0.001,1.99814,N[C@H](CCCNC(N)=N)C(O)=O,D-arginine,96.65866,96.77942,96.50133,96.64647
62,0.10003,0.00102,1.98944,C1CC(NC1)C(=O)O,proline,98.8608,98.86814,98.84693,98.85862
63,0.10003,0.001,2.00063,C(C[C@@H](C(=O)O)N)CN=C(N)N,(S)-2-amino-5-((diaminomethylene)amino)pentanoic acid,96.64522,97.09615,96.61663,96.786
64,0.10003,0.00101,1.99591,C1=C(NC=N1)CC(C(=O)O)N,histidine,99.05366,99.08724,99.08706,99.07598
65,0.10003,0.001,2.0022,CSCCC(C(=O)O)N,methionine,98.79092,98.77265,98.83859,98.80072
